TaxPayerID;TaxYear;Date;AccountCode;EntryId;Description; Amount ;DebitCredit
123456;2021;01/01/2021;1.1.1;#1;Cash; 10.000,00 ;Debit
123456;2021;01/01/2021;3.5.2;#1;Stock issuance; 10.000,00 ;Credit
123456;2021;01/02/2021;5.1.3;#2;Store Renovations; 100.000,00 ;Debit
123456;2021;01/02/2021;2.3.2;#2;Long-term Liabilities (Loan); 100.000,00 ;Credit
123456;2021;15/02/2021;1.3.1;#3;Inventory Purchase; 50.000,00 ;Debit
123456;2021;15/02/2021;2.1.1;#3;Accounts Payable; 50.000,00 ;Credit
123456;2021;01/03/2021;5.1.4;#4;Rent Expense; 500,00 ;Debit
123456;2021;01/03/2021;1.1.1;#4;Cash; 500,00 ;Credit
123456;2021;15/03/2021;1.1.1;#5;Cash; 500,00 ;Debit
123456;2021;15/03/2021;5.2.1;#5;Cost of Goods Sold; 100,00 ;Debit
123456;2021;15/03/2021;4.1.1;#5;Revenues; 500,00 ;Credit
123456;2021;15/03/2021;1.3.1;#5;Inventory; 100,00 ;Credit
123456;2021;01/04/2021;1.2.1;#6;Accounts Receivable; 300,00 ;Debit
123456;2021;01/04/2021;5.2.1;#6;Cost of Goods Sold; 100,00 ;Debit
123456;2021;01/04/2021;4.1.1;#6;Revenues; 300,00 ;Credit
123456;2021;01/04/2021;1.3.1;#6;Inventory; 100,00 ;Credit
123456;2021;15/04/2021;5.1.3;#7;Utility Expense; 200,00 ;Debit
123456;2021;15/04/2021;1.1.1;#7;Cash; 200,00 ;Credit
123456;2021;30/04/2021;5.2.2;#8;Supplies Expense; 500,00 ;Debit
123456;2021;30/04/2021;1.1.1;#8;Cash; 500,00 ;Credit
123456;2021;15/05/2021;5.1.2;#9;Wages Expense; 500,00 ;Debit
123456;2021;15/05/2021;1.1.1;#9;Cash; 500,00 ;Credit
123456;2021;30/05/2021;2.1.1;#10;Accounts Payable; 1.000,00 ;Debit
123456;2021;30/05/2021;1.1.1;#10;Cash; 1.000,00 ;Credit
123456;2021;01/06/2021;1.1.1;#11;Cash; 2.000,00 ;Debit
123456;2021;01/06/2021;4.1.2;#11;Income from giving lessons; 2.000,00 ;Credit
123456;2021;30/06/2021;2.3.2;#12;Long-term Liabilities (Loan); 500,00 ;Debit
123456;2021;30/06/2021;6.1.2;#12;Interest Expense; 500,00 ;Debit
123456;2021;30/06/2021;1.1.1;#12;Cash; 1.000,00 ;Credit
123456;2021;30/11/2021;1.1.1;#13;Cash; 25.000,00 ;Debit
123456;2021;30/11/2021;5.2.1;#13;Cost of Goods Sold; 10.000,00 ;Debit
123456;2021;30/11/2021;4.1.1;#13;Revenues; 25.000,00 ;Credit
123456;2021;30/11/2021;1.3.1;#13;Inventory; 10.000,00 ;Credit
123456;2021;15/12/2021;5.1.2;#14;Dividends; 1.000,00 ;Debit
123456;2021;15/12/2021;1.1.1;#14;Cash; 1.000,00 ;Credit
